browseWithDriver$suspendImpl:193, InteractiveBrowserEmulator (ai.platon.pulsar.protocol.browser.emulator.impl)
invokeSuspend:497, WebDriverPoolManager$runCancelableWithTimeout$2 (ai.platon.pulsar.protocol.browser.driver)
invoke:-1, WebDriverPoolManager$runCancelableWithTimeout$2 (ai.platon.pulsar.protocol.browser.driver)
invoke:-1, WebDriverPoolManager$runCancelableWithTimeout$2 (ai.platon.pulsar.protocol.browser.driver)
startUndispatchedOrReturnIgnoreTimeout:100, UndispatchedKt (kotlinx.coroutines.intrinsics)
withTimeout:44, TimeoutKt (kotlinx.coroutines)
runCancelableWithTimeout:496, WebDriverPoolManager (ai.platon.pulsar.protocol.browser.driver)
runWithDriver:389, WebDriverPoolManager (ai.platon.pulsar.protocol.browser.driver)
runWithDriverPool:484, WebDriverPoolManager (ai.platon.pulsar.protocol.browser.driver)
access$runWithDriverPool:37, WebDriverPoolManager (ai.platon.pulsar.protocol.browser.driver)
invokeSuspend:441, WebDriverPoolManager$runWithDriverPool$2 (ai.platon.pulsar.protocol.browser.driver)
invoke:-1, WebDriverPoolManager$runWithDriverPool$2 (ai.platon.pulsar.protocol.browser.driver)
invoke:-1, WebDriverPoolManager$runWithDriverPool$2 (ai.platon.pulsar.protocol.browser.driver)
whenNormalDeferred:58, PreemptChannelSupport (ai.platon.pulsar.common)
runWithDriverPool:429, WebDriverPoolManager (ai.platon.pulsar.protocol.browser.driver)
doRun:379, WebDriverPoolManager (ai.platon.pulsar.protocol.browser.driver)
run:161, WebDriverPoolManager (ai.platon.pulsar.protocol.browser.driver)
run:143, WebDriverPoolManager (ai.platon.pulsar.protocol.browser.driver)
run:74, WebDriverContext (ai.platon.pulsar.protocol.browser.emulator.context)
doRun$suspendImpl:68, BrowserPrivacyContext (ai.platon.pulsar.protocol.browser.emulator.context)
doRun:-1, BrowserPrivacyContext (ai.platon.pulsar.protocol.browser.emulator.context)
run$suspendImpl:228, PrivacyContext (ai.platon.pulsar.crawl.fetch.privacy)
run:-1, PrivacyContext (ai.platon.pulsar.crawl.fetch.privacy)
doRun:354, MultiPrivacyContextManager (ai.platon.pulsar.protocol.browser.emulator.context)
runAndUpdate:334, MultiPrivacyContextManager (ai.platon.pulsar.protocol.browser.emulator.context)
runIfPrivacyContextActive:311, MultiPrivacyContextManager (ai.platon.pulsar.protocol.browser.emulator.context)
run:96, MultiPrivacyContextManager (ai.platon.pulsar.protocol.browser.emulator.context)
fetchTaskDeferred:93, BrowserEmulatedFetcherImpl (ai.platon.pulsar.protocol.browser.emulator.impl)
fetchContentDeferred$suspendImpl:80, BrowserEmulatedFetcherImpl (ai.platon.pulsar.protocol.browser.emulator.impl)
fetchContentDeferred:-1, BrowserEmulatedFetcherImpl (ai.platon.pulsar.protocol.browser.emulator.impl)
getResponseDeferred:44, BrowserEmulatorProtocol (ai.platon.pulsar.protocol.browser)
getProtocolOutputDeferred$suspendImpl:98, AbstractHttpProtocol (ai.platon.pulsar.crawl.protocol.http)
getProtocolOutputDeferred:-1, AbstractHttpProtocol (ai.platon.pulsar.crawl.protocol.http)
fetchContentDeferred0:129, FetchComponent (ai.platon.pulsar.crawl.component)
fetchContentDeferred:91, FetchComponent (ai.platon.pulsar.crawl.component)
fetchContentDeferred:454, LoadComponent (ai.platon.pulsar.crawl.component)
fetchContentIfNecessaryDeferred:231, LoadComponent (ai.platon.pulsar.crawl.component)
loadDeferred1:216, LoadComponent (ai.platon.pulsar.crawl.component)
loadDeferred0:210, LoadComponent (ai.platon.pulsar.crawl.component)
loadWithRetryDeferred:118, LoadComponent (ai.platon.pulsar.crawl.component)
loadDeferred:97, LoadComponent (ai.platon.pulsar.crawl.component)
loadDeferred$suspendImpl:329, AbstractPulsarContext (ai.platon.pulsar.context.support)
loadDeferred:-1, AbstractPulsarContext (ai.platon.pulsar.context.support)
loadAndCacheDeferred:487, AbstractPulsarSession (ai.platon.pulsar.session)
loadDeferred$suspendImpl:192, AbstractPulsarSession (ai.platon.pulsar.session)
loadDeferred:-1, AbstractPulsarSession (ai.platon.pulsar.session)
loadDeferred$suspendImpl:185, AbstractPulsarSession (ai.platon.pulsar.session)
loadDeferred:-1, AbstractPulsarSession (ai.platon.pulsar.session)
loadWithMinorExceptionHandled:571, StreamingCrawler (ai.platon.pulsar.crawl.impl)
access$loadWithMinorExceptionHandled:69, StreamingCrawler (ai.platon.pulsar.crawl.impl)
invokeSuspend:482, StreamingCrawler$loadWithTimeout$2 (ai.platon.pulsar.crawl.impl)
invoke:-1, StreamingCrawler$loadWithTimeout$2 (ai.platon.pulsar.crawl.impl)
invoke:-1, StreamingCrawler$loadWithTimeout$2 (ai.platon.pulsar.crawl.impl)
startUndispatchedOrReturnIgnoreTimeout:100, UndispatchedKt (kotlinx.coroutines.intrinsics)
withTimeout:44, TimeoutKt (kotlinx.coroutines)
loadWithTimeout:481, StreamingCrawler (ai.platon.pulsar.crawl.impl)
runLoadTaskWithEventHandlers:462, StreamingCrawler (ai.platon.pulsar.crawl.impl)
access$runLoadTaskWithEventHandlers:69, StreamingCrawler (ai.platon.pulsar.crawl.impl)
invokeSuspend:418, StreamingCrawler$runWithStatusCheck$2 (ai.platon.pulsar.crawl.impl)
resumeWith:33, BaseContinuationImpl (kotlin.coroutines.jvm.internal)
run:106, DispatchedTask (kotlinx.coroutines)
run:664, CoroutineScheduler$Worker (kotlinx.coroutines.scheduling)
